Job Title,Company,Location,Category
Call for Proposal -Project End Evaluation,﻿﻿﻿﻿﻿﻿CBM Global Nepal Country Office,Kathmandu,"Development and Project, Development / NGO"
Support Engineer (12 month FTC),Verisk Nepal Pvt. Ltd.,Sunsari,"Information Technology, Computer - Hardware / Network"
ETL Developer,Verisk Nepal Pvt. Ltd.,Kathmandu,"Information Technology, Web Designing &amp; Programming, Engineering - Software, Software Development"
Senior DevOps Engineer,Verisk Nepal Pvt. Ltd.,Kathmandu,"Information Technology, Engineering - Software, Software Development"
Request for Quotation – 4WD Vehicle,Habitat Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Python Developer,Verisk Nepal Pvt. Ltd.,Kathmandu,"Information Technology, Web Development, Software Development"
Java Developer,Verisk Nepal Pvt. Ltd.,Kathmandu,"Information Technology, Engineering - Software, Web Designing and Programming"
QA Automation Engineer,Verisk Nepal Pvt. Ltd.,Kathmandu,"Information Technology, Web Designing &amp; Programming, Engineering - Software, Software Development"
कर्मचारी तथा लेखा अभिलेख सफ्टवयर आवश्यकता सम्बन्धि सूचना,Sagun Agriculture Cooperative Society Ltd.,Kapilvastu,"Agriculture, Administrative / Management, Accounting and Finance"
Software Engineer (NoSQL DBA),Verisk Nepal Pvt. Ltd.,"Kathmandu, Bhaktapur, Lalitpur","Information Technology, Engineering - Software, Software Development"
Python Data Engineer,Verisk Nepal Pvt. Ltd.,Lalitpur,"Information Technology, Engineering - Software"
Dot Net Developer,Verisk Nepal Pvt. Ltd.,Dhanusha,Engineering - Software
REQUEST FOR QUOTATION,USAID Tayar Nepal,Pokhara,"Development and Project, Development / NGO"
Natural Resource Management Officer (NRM Officer),Federation of Community Forestry Users Nepal (FECOFUN),Dhangadhi,NGO/INGO/Social work
Admin and Finance Officer/Project Manager,Kids of kathmandu,Kathmandu,"Accounting and Finance, Finance &amp; Administration, Business Administration"
सिलबन्दी बोलपत्र आह्वानको सुचना,Lumbini Integrated Development Organization,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Sales and Marketing Assistant,Jiri Natural Private Limited,Kathmandu,"Administrative / Management, Manufacturing, Sales, Front Office / Secretarial, Customer Service, Marketing, Business Administration"
Program Officer,KOICA Nepal,Kathmandu,"Agriculture, Public Health, Development and Project, Environment and Natural Resource"
Invitation for Bid,Aasaman Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Technical Coordinator,Swisscontact | Swiss Foundation for Technical Cooperation,Kathmandu,"Development and Project, Development / INGO"
PROJECT OFFICER,Karkhana Samuha,Kathmandu,"Social Science, Development and Project"
Request for Proposal-Scoping Study for Local Insurance Products for Water Supply and Sanitation Infrastructure,USAID Karnali Water Activity,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Data Entry Assistant,Profusion Tech Pvt. Ltd,Kathmandu,"Data &amp; Info Service, Assistant"
IT Associate,"SOUTH ASIA WATCH ON TRADE, ECONOMICS AND ENVIRONMENT (SAWTEE)",Kathmandu,Information Technology
Chauffeur (Driver),US Embassy,Lalitpur,Driver
Trades Helper,US Embassy,Kathmandu,
REQUEST FOR PROPOSAL,USAID Tayar Nepal,"Kathmandu, Other - Specify","Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
"Request for Proposal-Assess Red Panda Distribution, Occupancy, and Conservation Threats  in Karnali Landscape",USAID Biodiversity (Jal Jangal),"Kalikot, Kailali, Mugu, Dailekh","Development and Project, Development / INGO"
