Job Title,Company,Location,Category
Request for Proposal/Quotation,Lumanti Support Group for Shelter,"Human Resources, Finance & Administration, Development / NGO",Lalitpur
Dev Ops Intern,LIS Nepal Pvt. Ltd. (Sister Concern of Yomari Group of Companies),"Development and Project, Expression of Interests, Tender Notice, Bid","Lalitpur, Dhangadhi"
Human Resource and Admin Officer,Lumanti Support Group for Shelter,Development / INGO,Kathmandu
REQUEST FOR EXPRESSION OF INTEREST (EOI) FROM ELIGIBLE SUPPLIERS,CARE Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
Sponsorship Correspondence Assistant /  Senior Grants Acquisition Specialist,World Vision International Nepal,"Information Technology, Research",Kathmandu
Request for Proposal (RFP)-Readvertise,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Lalitpur
IT/Research Support Officer,Nepal Bankers' Association,"Accounting and Finance, Finance & Administration, Development / NGO, Business Administration","Birgunj, Lahan, Narayanghat"
REQUEST FOR PROPOSAL,USAID Tayar Nepal,"Administrative / Management, Business Development, Marketing Representatives",
Finance Trainee,Shangri La Development Association,Kathmandu,"Development and Project, Development / INGO"
Market Representatives/Business Development Executive,HIMAL HERBACEUTICALS PVT LTD,Kathmandu,"Development and Project, Development / NGO, Engineering"
SJP MEAL Coordinator for Madhesh,People in  Need,Lalitpur,"Development / NGO, Development / INGO"
"Programme Assistant (Migration, Development and Policy)",IOM Nepal,Mahottari,"Accounting and Finance, Development and Project, Finance & Administration, Development / NGO"
Senior Project Officer- Engineer,PRACTICAL ACTION,Lalitpur,"Accounting and Finance, Development and Project"
Call for Expression of Interest (EOI) for Vendor Roster,Heifer International Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
कर्मचारी आवश्यकता,Ratauli Yuba Club (RYC),"Sunkoshi, sindhupalchowk","Development and Project, Expression of Interests, Tender Notice, Bid"
Finance Manager,Danfe Works Enterprises Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
शिलबन्दी दरभाउ पत्र आह्वान सम्बन्धि सूचना,Centre for Integrated Urban Development,Kathmandu,"Development and Project, Development / NGO"
TENDER NOTICE,Tuki Association Sunkoshi,Kathmandu,"Information Technology, Computer - Hardware / Network"
Expression of Interest for Vendor Listing,Ipas Nepal,Kathmandu,"Information Technology, Web Designing & Programming, Engineering - Software, Software Development"
Call for Proposal -Project End Evaluation,﻿﻿﻿﻿﻿﻿CBM Global Nepal Country Office,Kathmandu,"Information Technology, Engineering - Software, Software Development"
Support Engineer (12 month FTC),Verisk Nepal Pvt. Ltd.,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
ETL Developer,Verisk Nepal Pvt. Ltd.,Kathmandu,"Information Technology, Web Development, Software Development"
Senior DevOps Engineer,Verisk Nepal Pvt. Ltd.,Kathmandu,"Information Technology, Engineering - Software, Web Designing and Programming"
Request for Quotation – 4WD Vehicle,Habitat Nepal,Kathmandu,"Information Technology, Web Designing & Programming, Engineering - Software, Software Development"
Python Developer,Verisk Nepal Pvt. Ltd.,Sunsari,"Agriculture, Administrative / Management, Accounting and Finance"
Java Developer,Verisk Nepal Pvt. Ltd.,Kathmandu,"Information Technology, Engineering - Software, Software Development"
QA Automation Engineer,Verisk Nepal Pvt. Ltd.,Kathmandu,"Information Technology, Engineering - Software"
कर्मचारी तथा लेखा अभिलेख सफ्टवयर आवश्यकता सम्बन्धि सूचना,Sagun Agriculture Cooperative Society Ltd.,Kathmandu,Engineering - Software
Software Engineer (NoSQL DBA),Verisk Nepal Pvt. Ltd.,Sarlahi,"Education, Accounting and Finance, Social Science, Development and Project"
Python Data Engineer,Verisk Nepal Pvt. Ltd.,Kathmandu,"Development and Project, Development / NGO"
Dot Net Developer,Verisk Nepal Pvt. Ltd.,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Various Positions,Nepal Integrated Development Society(NIDS),Kathmandu,NGO/INGO/Social work
REQUEST FOR QUOTATION,USAID Tayar Nepal,Kathmandu,"Accounting and Finance, Finance & Administration, Business Administration"
Expression of Interest (EOI) for Support to Schools for Formulation of SIP (School Improvement Plan) Consultancy,dZi Foundation,"Lalitpur, Pokhara","Development and Project, Expression of Interests, Tender Notice, Bid"
Natural Resource Management Officer (NRM Officer),Federation of Community Forestry Users Nepal (FECOFUN),Kapilvastu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Admin and Finance Officer/Project Manager,Kids of kathmandu,"Kathmandu, Bhaktapur, Lalitpur","Administrative / Management, Manufacturing, Sales, Front Office / Secretarial, Customer Service, Marketing, Business Administration"
Request for Sealed Proposal (RfP) Notice,LI-BIRD,Lalitpur,"Agriculture, Public Health, Development and Project, Environment and Natural Resource"
सिलबन्दी बोलपत्र आह्वानको सुचना,Lumbini Integrated Development Organization,Dhanusha,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Sales and Marketing Assistant,Jiri Natural Private Limited,Pokhara,"Development and Project, Development / INGO"
Program Officer,KOICA Nepal,Dhangadhi,"Social Science, Development and Project"
Invitation for Bid,Aasaman Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Technical Coordinator,Swisscontact | Swiss Foundation for Technical Cooperation,Kathmandu,Information Technology
PROJECT OFFICER,Karkhana Samuha,Kathmandu,Driver
Request for Proposal-Scoping Study for Local Insurance Products for Water Supply and Sanitation Infrastructure,USAID Karnali Water Activity,Kathmandu,
IT Associate,"SOUTH ASIA WATCH ON TRADE, ECONOMICS AND ENVIRONMENT (SAWTEE)",Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Chauffeur (Driver),US Embassy,Kathmandu,"Development and Project, Development / INGO"
Trades Helper,US Embassy,Kathmandu,"Development and Project, Development / INGO"
REQUEST FOR PROPOSAL,USAID Tayar Nepal,Kathmandu,"Development and Project, Development / NGO"
"Request for Proposal-Assess Red Panda Distribution, Occupancy, and Conservation Threats  in Karnali Landscape",USAID Biodiversity (Jal Jangal),Kathmandu,"Education, Sales"
Project Specialist- Education,VSO Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Grants and Procurement Officer,USAID Biodiversity (Jal Jangal),Lalitpur,"Tourism Industry, Travel & Ticketing"
Team Lead,Creanovation Technologies Pvt. Ltd.,Kathmandu,Sales
Consultant,Niti Foundation,"Kathmandu, Other - Specify",Sales
Correspondence Representative and  Assistant Correspondence Representative,JourneyDMC,Kathmandu,"Social Science, Development and Project, Research"
Sales person,Triyuga Sales and Marketing Pvt. Ltd,Kathmandu,"Development and Project, Development / NGO"
Corporate Sales manager,Triyuga Sales and Marketing Pvt. Ltd,"Kalikot, Kailali, Mugu, Dailekh","Development and Project, NGO/INGO/Social work"
"MANAGER, RESEARCH, MONITORING AND EVALUATION (RM&E)",Room to Read Nepal,"Kushma Parbat, Gandaki Province","Development and Project, Development / NGO"
Thematic Lead – Education,United Mission to Nepal,Kathmandu,"Database Programming, Engineering - Software, Computer - Programming, Web Designing and Programming, Software Development, Core PHP Developer"
Intern(s),USAID Karnali Water Activity,Lalitpur,Sales
Assistant Officer- Education and Child Protection,SORDEC-Nepal,"Engineer, Information Technology, Computer - Hardware / Network",Kathmandu
PHP Laravel Developer,Code Fusion Technologies Pvt. Ltd.,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
Sales Officer,Sajilo Sewa,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
IT Support Engineer,ComplianceQuest Nepal Pvt. Ltd.,"Development and Project, Expression of Interests, Tender Notice, Bid","Lalitpur, Madhesh Province, Koshi Pradesh"
Request for Proposal-Radio Magazine Production and Broadcasting,USAID Karnali Water Activity,"Information Technology, Development and Project, Finance & Administration, Mass Communication/Journalism",Kathmandu
Request for Proposal-Radio PSAs Production and Broadcasting,USAID Karnali Water Activity,"Engineering - Software, Software Development",Kathmandu
"Request for Proposal-Annual Financial Audit, Labor Audit and Annual Corporate Income Tax Filing Services for DAI Global LLC",USAID Biodiversity (Jal Jangal),"Engineering - Software, Software Development",
Various Positions,Reintegration of Returnee Migrant Workers (ReMi) Project/Helvetas Nepal,"Rukum West, Rukum, Karnali Province","Development and Project, Expression of Interests, Tender Notice, Bid"
PRINCIPAL SOFTWARE ENGINEER,GrowByData Services Pvt. Ltd.,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
PRINCIPAL DATA ENGINEER,GrowByData Services Pvt. Ltd.,Other - Specify,Human Resources
