Job Title,Company,Location,Category
REQUEST FOR EXPRESSION OF INTEREST (EOI) FROM ELIGIBLE SUPPLIERS,CARE Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Request for Proposal (RFP)-Readvertise,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Lalitpur,"Accounting and Finance, Finance & Administration, Development / NGO, Business Administration"
IT/Research Support Officer,Nepal Bankers' Association,"Birgunj, Lahan, Narayanghat","Administrative / Management, Business Development, Marketing Representatives"
REQUEST FOR PROPOSAL,USAID Tayar Nepal,,Kathmandu
Finance Trainee,Shangri La Development Association,"Development and Project, Development / NGO, Engineering",Lalitpur
Market Representatives/Business Development Executive,HIMAL HERBACEUTICALS PVT LTD,"Development / NGO, Development / INGO",Mahottari
SJP MEAL Coordinator for Madhesh,People in  Need,"Accounting and Finance, Development and Project, Finance & Administration, Development / NGO",Lalitpur
Senior Project Officer- Engineer,PRACTICAL ACTION,"Accounting and Finance, Development and Project","Sunkoshi, sindhupalchowk"
Call for Expression of Interest (EOI) for Vendor Roster,Heifer International Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid",Kathmandu
कर्मचारी आवश्यकता,Ratauli Yuba Club (RYC),"Development and Project, Expression of Interests, Tender Notice, Bid",Kathmandu
Finance Manager,Danfe Works Enterprises Nepal,"Development and Project, Development / NGO",Kathmandu
TENDER NOTICE,Tuki Association Sunkoshi,"Information Technology, Computer - Hardware / Network",Kathmandu
Expression of Interest for Vendor Listing,Ipas Nepal,"Information Technology, Web Designing & Programming, Engineering - Software, Software Development",Kathmandu
Call for Proposal -Project End Evaluation,﻿﻿﻿﻿﻿﻿CBM Global Nepal Country Office,"Information Technology, Engineering - Software, Software Development",Lalitpur
Support Engineer (12 month FTC),Verisk Nepal Pvt. Ltd.,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
ETL Developer,Verisk Nepal Pvt. Ltd.,"Information Technology, Web Development, Software Development",Kathmandu
Senior DevOps Engineer,Verisk Nepal Pvt. Ltd.,"Information Technology, Engineering - Software, Web Designing and Programming",Kathmandu
Request for Quotation – 4WD Vehicle,Habitat Nepal,"Information Technology, Web Designing & Programming, Engineering - Software, Software Development",Sunsari
Python Developer,Verisk Nepal Pvt. Ltd.,"Agriculture, Administrative / Management, Accounting and Finance",Kathmandu
Java Developer,Verisk Nepal Pvt. Ltd.,"Information Technology, Engineering - Software, Software Development",Kathmandu
QA Automation Engineer,Verisk Nepal Pvt. Ltd.,"Information Technology, Engineering - Software",Kathmandu
कर्मचारी तथा लेखा अभिलेख सफ्टवयर आवश्यकता सम्बन्धि सूचना,Sagun Agriculture Cooperative Society Ltd.,Engineering - Software,Kathmandu
Software Engineer (NoSQL DBA),Verisk Nepal Pvt. Ltd.,"Development and Project, Development / NGO",Kathmandu
Python Data Engineer,Verisk Nepal Pvt. Ltd.,NGO/INGO/Social work,Kathmandu
Dot Net Developer,Verisk Nepal Pvt. Ltd.,"Accounting and Finance, Finance & Administration, Business Administration",Kapilvastu
REQUEST FOR QUOTATION,USAID Tayar Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid","Kathmandu, Bhaktapur, Lalitpur"
Natural Resource Management Officer (NRM Officer),Federation of Community Forestry Users Nepal (FECOFUN),"Administrative / Management, Manufacturing, Sales, Front Office / Secretarial, Customer Service, Marketing, Business Administration",Lalitpur
Admin and Finance Officer/Project Manager,Kids of kathmandu,"Agriculture, Public Health, Development and Project, Environment and Natural Resource",Dhanusha
सिलबन्दी बोलपत्र आह्वानको सुचना,Lumbini Integrated Development Organization,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Pokhara
Sales and Marketing Assistant,Jiri Natural Private Limited,"Development and Project, Development / INGO",Dhangadhi
Program Officer,KOICA Nepal,"Social Science, Development and Project",Kathmandu
Invitation for Bid,Aasaman Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
Technical Coordinator,Swisscontact | Swiss Foundation for Technical Cooperation,"Data & Info Service, Assistant",Kathmandu
PROJECT OFFICER,Karkhana Samuha,Information Technology,Kathmandu
Request for Proposal-Scoping Study for Local Insurance Products for Water Supply and Sanitation Infrastructure,USAID Karnali Water Activity,Driver,Kathmandu
Data Entry Assistant,Profusion Tech Pvt. Ltd,,Kathmandu
IT Associate,"SOUTH ASIA WATCH ON TRADE, ECONOMICS AND ENVIRONMENT (SAWTEE)","Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
Chauffeur (Driver),US Embassy,"Development and Project, Development / INGO",Kathmandu
Trades Helper,US Embassy,"Development and Project, Development / NGO",Kathmandu
REQUEST FOR PROPOSAL,USAID Tayar Nepal,"Education, Sales",Kathmandu
"Request for Proposal-Assess Red Panda Distribution, Occupancy, and Conservation Threats  in Karnali Landscape",USAID Biodiversity (Jal Jangal),"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Lalitpur
